name,entname,price,area,last_time,detail_url,edu,content,welfare
python开发,广西泽霖润桂信息科技有限责任公司,5000,南宁市,2021-11-27,https://www.gxrc.com/jobDetail/862a0aeff1ac46c292dee00d1d5d2fa4,学历大专,"岗位职责：1. 协助设计和开发网络爬虫应用，进行互联网相关信息的抓取和分析2. 协助网页信息抽取技术的研究和开发3. 协助解决爬取过程中的反爬问题岗位要求：1. 熟悉Python语言2. 熟悉Mysql数据库基本操作3. 熟悉网页抓取原理及技术的实现细节 PS：公司在各个区均有分点, 正式员工可与上级沟通择近办公工作时间： 八小时工作制，周末双休，无需加班，可提供住宿；公司福利：- 正式上岗前有5k-8k不等的补贴；- 入职缴纳养老保险金、医疗保险金、大病保险金，失业保险金，生育保险金，工伤保险金；- 为员工提供广阔的职业发展平台与晋升空间，半年一次内部晋升机会；- 带薪休假（年假，婚假，丧假，病假等）- 每月一次员工专属生日趴，水果蛋糕礼物，节日礼物，丰富的业余集体活动（拓展，旅游，聚餐，年会等）- 提供住宿(配备空调,热水器，无线网)",|
Python编程老师,深圳市瑞视云智科技有限公司,8000,西乡塘区,2021-11-26,https://www.gxrc.com/jobDetail/ad3ed401c01843469625489e6cafec26,学历本科,岗位职责：1、负责大数据、人工智能教育方向的教学研发工作，包括教学体系开发、课程内容设计等；2、负责教学方案设计和教学资料的制作，包括课程大纲、教学课件等；3、负责远程教学的过程性设计和在线教学内容研发；4、将产业经验转化为教学资源，设计实验室方案或实训类项目的教学内容。任职资格：1、本科及以上学历，计算机或应用数学、统计学相关专业；有1年以上 大数据/AI 技术行业教育培训授课经验或课程研发经验；2、熟练使用Java、Python、Scala至少一门语言，熟悉Redis和MySQL，熟悉Linux平台；3、熟悉分布式、高性能计算，从事过Hadoop、Spark、MPI相关的开发工作者优先；4、至少参与过一个中大型实际项目开发者；5、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；（注：本职位对这条很重视）；6、热爱IT技术职业教育工作，有前瞻性和市场洞察能力，敢于拼搏，有创业精神；,
Python开发工程师,南宁进驰科技有限责任公司,10000,南宁市,2021-11-19,https://www.gxrc.com/jobDetail/12a861ac559745eca8e35b82a4bcd49d,学历本科,职位描述:1、熟悉Python开发。2、了解rpa优先。3、有程序逻辑基础。4、有清晰的语音及文字沟通能力。5、工作认真负责，做事耐心。有工程经验者优先考虑。6、愿意同时学习并应用其它开发语言。,|
python程序员,永旭工艺（深圳）有限公司,5000,青秀区,2021-11-19,https://www.gxrc.com/jobDetail/b96b44abf07c4065b5f8aa073faffe94,学历大专,1、精通Python，熟练使用面向对象编程；  2、熟悉数据库，包括但不仅限于熟练使用、数据库调优等；3、2年以上工作经验4、有项目管理经验或团队管理经验重点优先考虑5、工作认真负责。,|
Python高级工程师,南宁市乐锐网络科技有限公司,8000,南宁市,2021-11-26,https://www.gxrc.com/jobDetail/aac3654c1149499b950a1d70fb13e285,学历不限,"岗位职责：1、参与爬虫项目的架构设计、研发、编程工作，改进和提升爬虫效率；2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责后台爬虫数据的分布式存储设计以及代码实现；4、负责网页采集任务的分析及采集方案设计；5、负责分布式爬虫策略持续优化任职要求：1、2年以上开发工作经验，Python基础扎实；2、熟悉多线程、多进程、协程开发、网络编程，精通网页抓取原理及技术的实现细节；3、了解分布式计算和储存技术以及相关原理；4、具备Python运维平台开发经验，熟悉 Django/Django rest/Tornado/Flask/Sqlalchemy 等其中一种或几种开发框架；5、掌握HTML、CSS、JQuery、RESTful 相关技术；6、具有良好的站点分析经验，能独立处理基于(seeion, cookie)、(AccessToken, Token)、(selenium, splash)、(访问量, 访问频率)的反爬。自主设计爬取流程；7、熟悉基于规则的网页信息定位，精通正则表达式，xpath语法；8、精通原生Python urllib爬取方式、精通原生Python requests爬取方式、精通框架Python scrapy的爬取方式、熟悉Python aiohttp 异步请求框架的爬取方式；9、熟悉掌握一种或多种热门关系型数据库和非关系型数据库、熟练使用Git；10、热爱互联网，对搜索技术和探索未知领域有浓厚兴趣；11、能够高效地沟通,并与团队或跨团队同事有效地协作办公。加分项：1、能够自动化处理滑动验证码、静态验证码、动态验证码；2、熟悉Python爬虫服务器部署;",|
python开发工程师,广西森格自动化科技股份有限公司,8000,南宁市,2021-11-15,https://www.gxrc.com/jobDetail/7483db36a0d5452c8c4b9fc8e7604789,学历大专,工作职责：       1、负责工业互联网平台的通讯服务程序开发(通过运行在网关模块中的python程序，采集数据上传至云服务器)； 2、解决项目前端开发中的技术难题；3、配合具体项目实施，实现工业数据采集至云服务器；4、持续优化前端代码。 岗位要求：1、2年及以上软件开发（或通讯功能开发）经验。2、有良好的编程基础，熟悉linux操作系统，熟悉面向对象编程（如python、C#）；3、有良好的技术钻研及攻关能力。,
Python程序员,广西数锋信息科技有限公司,6000,南宁市,2021-11-25,https://www.gxrc.com/jobDetail/5405b5b0920647c6bc40f77f40eca2ee,学历大专,1、熟悉Python编程、设计模式和组件技术2、3年以上Python编程经验，有Python架构系统经验者优先3、熟悉Python多进程协程开发，熟悉WEB开发框架Flask。4、有数据挖掘经验。5、熟悉Redis、MongoDB等，具备数据库应用、设计能力6、熟悉Linux操作系统及shell编程7、对分布式及高性能Web有一定认识，对可靠性设计有较好的经验8、拥有良好的代码习惯，具备良好的人际沟通能力9、对新技术有强烈的探索欲望，能够承受工作压力，有强烈的责任心10、对以下关键词大部分都有所了解的优先：Django / Flask / coroutine / celery/ sklearn / TensorFlow / Redis /selenium/SEO优化,|
python工程师,广西广证房地产土地资产评估有限公司,8000,青秀区,2021-11-04,https://www.gxrc.com/jobDetail/14a822ff91e24b7e8f9c384fc75a68eb,学历大专,一、岗位职责：1、为系统和项目提供 API 支持；2、参与设计并维护系统架构，保证线上服务稳定可用；3、对批量数据进行采集、清晰与分析；二、岗位要求1、拥有3年以上 Python 实际开发经验；2、扎实的Python开发基础，熟悉相关规范和类库，精通django，flask 或其它 Python web 框架等相关技术；3、有 Python Flask 开发 Web API 的经验；3、熟悉Linux操作系统，有Java/Shell一种或多种脚本语言编程能力。三、优先条件：1、对大量动态数据有建模分析的经验；2、有分布式系统、大数据开发经验；3、有基本的前端开发经验；4、良好的沟通、协调能力，有团队管理经验者优先。,|
运营督查员,南宁星链文化传媒有限公司,5000,青秀区,2021-11-28,https://www.gxrc.com/jobDetail/a30a915d952e44a9b6eb965e37d28f5d,学历大专,岗位职责：1、统计学相关专业优先2、能熟练应用Excel、PPT、Python、SQL等工具3、能够多维度对数据进行整理、分析，构建分析模型、给出分析意见等4、承担数据支持工作，满足业务团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑、反向指导业务方向岗位要求：1、擅长沟通、积极进取，有良好的协同工作能力；2、严谨的逻辑思维能力、优秀的学习能力、言语表达能力、管理能力；3、至少有1年（含）以上数据挖掘与分析工作经验；【福利待遇】1、薪资3500－4500，试用期1个月2、周末双休+五险+节日福利+带薪年假,|
数据分析员,南宁星链文化传媒有限公司,5000,青秀区,2021-11-28,https://www.gxrc.com/jobDetail/8a60f97c0c884351b7d2bfca557fa73e,学历大专,岗位职责：1、统计学相关专业优先2、能熟练应用Excel、PPT、Python、SQL等工具3、能够多维度对数据进行整理、分析，构建分析模型、给出分析意见等4、承担数据支持工作，满足业务团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑、反向指导业务方向岗位要求：1、擅长沟通、积极进取，有良好的协同工作能力；2、严谨的逻辑思维能力、优秀的学习能力、言语表达能力、管理能力；3、至少有1年（含）以上数据挖掘与分析工作经验；【福利待遇】1、薪资3500－4500，试用期1个月2、周末双休+五险+节日福利+带薪年假,|
